City,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson
Sea Girt,1807,4,0,0,0,4,28,3,24,1,0
Sea Isle City,2080,3,0,0,2,1,244,61,181,2,0
Seaside Heights,2886,26,0,0,5,21,173,29,139,5,0
Seaside Park,1541,0,0,0,0,0,31,3,26,2,0
Secaucus,19528,39,0,3,10,26,391,32,333,26,0
Ship Bottom,1128,0,0,0,0,0,16,6,10,0,0
Shrewsbury,4199,1,0,0,1,0,58,3,54,1,0
Somerdale,5496,10,0,1,3,6,239,24,211,4,0
Somers Point,10667,35,0,3,7,25,260,77,173,10,0
Somerville,12198,23,0,3,9,11,180,28,143,9,0
South Amboy,8843,4,0,1,1,2,94,31,53,10,0
South Bound Brook,4624,6,0,0,4,2,38,5,31,2,0
South Brunswick Township,45862,18,0,3,8,7,382,79,274,29,2
South Hackensack Township,2469,10,0,1,3,6,59,8,44,7,1
South Harrison Township,3116,0,0,0,0,0,11,4,6,1,0
South Orange,16332,43,0,1,31,11,333,60,237,36,0
South Plainfield,24349,33,0,0,15,18,407,34,349,24,1
South River,16391,14,0,1,1,12,138,27,107,4,5
South Toms River,3737,12,0,1,3,8,64,14,45,5,0
Sparta Township,19049,2,0,1,0,1,78,10,65,3,1
Spotswood,8477,8,0,0,1,7,59,7,52,0,0
Springfield,17764,15,2,6,6,1,171,28,131,12,0
Springfield Township,3343,3,0,0,1,2,26,10,13,3,0
Spring Lake,2959,1,0,0,0,1,53,7,45,1,0
Spring Lake Heights,4648,1,0,0,0,1,15,2,13,0,0
Stafford Township,26972,21,0,2,2,17,196,15,174,7,1
Stanhope,3372,4,0,3,0,1,33,6,24,3,0
Stone Harbor,830,2,0,0,0,2,99,18,81,0,0
Stratford,6974,15,1,0,8,6,142,32,104,6,0
Summit,22078,10,0,2,5,3,181,18,153,10,0
Surf City,1201,0,0,0,0,0,18,0,18,0,0
Swedesboro,2602,1,1,0,0,0,26,8,15,3,0
Tavistock,5,0,0,0,0,0,4,0,4,0,0
Teaneck Township,40988,72,0,10,23,39,424,80,330,14,0
Tenafly,14877,4,0,2,1,1,68,20,42,6,0
Teterboro,69,2,0,0,1,1,108,1,103,4,0
Tewksbury Township,5862,0,0,0,0,0,27,6,19,2,0
Tinton Falls,17747,9,0,1,4,4,269,27,237,5,0
Toms River Township,90504,67,1,2,31,33,1836,254,1546,36,5
Totowa,10948,12,0,0,5,7,278,23,241,14,1
Trenton,83644,1127,21,59,427,620,2186,883,930,373,17
Tuckerton,3374,3,0,0,0,3,44,12,32,0,0
Union Beach,5476,2,0,0,0,2,40,8,30,2,0
Union City,69345,211,1,1,71,138,1134,116,914,104,2
Union Township,58109,62,2,4,35,21,879,99,698,82,2
Upper Saddle River,8369,5,0,2,1,2,32,2,21,9,0
Ventnor City,10455,18,3,2,9,4,305,73,226,6,0
Vernon Township,22359,6,0,0,2,4,206,16,184,6,2
Verona,13523,3,0,0,0,3,82,13,65,4,0
Vineland,60823,297,1,15,128,153,2412,559,1779,74,4
Voorhees Township,29235,53,0,9,11,33,444,70,358,16,0
Waldwick,10134,2,0,1,0,1,59,7,49,3,0
Wallington,11731,8,0,0,4,4,148,22,118,8,0
Wall Township,26033,16,0,1,4,11,256,33,221,2,1
Wanaque,11937,7,0,0,0,7,83,7,73,3,0
Warren Township,16051,1,0,0,1,0,55,14,37,4,0
Washington,6508,6,0,0,1,5,94,22,68,4,0
"Washington Township, Bergen County",9381,0,0,0,0,0,17,7,10,0,0
"Washington Township, Gloucester County",47477,53,0,2,15,36,865,176,655,34,0
"Washington Township, Morris County",18696,16,0,2,0,14,37,5,32,0,0
"Washington Township, Warren County",6430,2,0,0,0,2,57,9,48,0,0
Watchung,5925,1,0,0,1,0,411,12,392,7,0
Waterford Township,10720,3,0,0,0,3,76,10,60,6,0
Wayne Township,55023,17,0,2,7,8,1119,85,990,44,0
Weehawken Township,14284,15,0,1,3,11,285,35,229,21,0
